"task_id","run_id","imputation","n","m","k","chunk_id","chunks_per_run","reps","reps_per_scenario","base_seed"
28,"rw_parametric_n150","parametric",150,20,NA,28,50,50,2500,2351
29,"rw_parametric_n150","parametric",150,20,NA,29,50,50,2500,2401
30,"rw_parametric_n150","parametric",150,20,NA,30,50,50,2500,2451
31,"rw_parametric_n150","parametric",150,20,NA,31,50,50,2500,2501
32,"rw_parametric_n150","parametric",150,20,NA,32,50,50,2500,2551
33,"rw_parametric_n150","parametric",150,20,NA,33,50,50,2500,2601
34,"rw_parametric_n150","parametric",150,20,NA,34,50,50,2500,2651
35,"rw_parametric_n150","parametric",150,20,NA,35,50,50,2500,2701
36,"rw_parametric_n150","parametric",150,20,NA,36,50,50,2500,2751
37,"rw_parametric_n150","parametric",150,20,NA,37,50,50,2500,2801
38,"rw_parametric_n150","parametric",150,20,NA,38,50,50,2500,2851
39,"rw_parametric_n150","parametric",150,20,NA,39,50,50,2500,2901
40,"rw_parametric_n150","parametric",150,20,NA,40,50,50,2500,2951
41,"rw_parametric_n150","parametric",150,20,NA,41,50,50,2500,3001
42,"rw_parametric_n150","parametric",150,20,NA,42,50,50,2500,3051
43,"rw_parametric_n150","parametric",150,20,NA,43,50,50,2500,3101
44,"rw_parametric_n150","parametric",150,20,NA,44,50,50,2500,3151
45,"rw_parametric_n150","parametric",150,20,NA,45,50,50,2500,3201
46,"rw_parametric_n150","parametric",150,20,NA,46,50,50,2500,3251
47,"rw_parametric_n150","parametric",150,20,NA,47,50,50,2500,3301
48,"rw_parametric_n150","parametric",150,20,NA,48,50,50,2500,3351
49,"rw_parametric_n150","parametric",150,20,NA,49,50,50,2500,3401
50,"rw_parametric_n150","parametric",150,20,NA,50,50,50,2500,3451
51,"rw_parametric_n1000","parametric",1000,50,NA,1,50,50,2500,1001
52,"rw_parametric_n1000","parametric",1000,50,NA,2,50,50,2500,1051
53,"rw_parametric_n1000","parametric",1000,50,NA,3,50,50,2500,1101
54,"rw_parametric_n1000","parametric",1000,50,NA,4,50,50,2500,1151
55,"rw_parametric_n1000","parametric",1000,50,NA,5,50,50,2500,1201
56,"rw_parametric_n1000","parametric",1000,50,NA,6,50,50,2500,1251
57,"rw_parametric_n1000","parametric",1000,50,NA,7,50,50,2500,1301
58,"rw_parametric_n1000","parametric",1000,50,NA,8,50,50,2500,1351
59,"rw_parametric_n1000","parametric",1000,50,NA,9,50,50,2500,1401
60,"rw_parametric_n1000","parametric",1000,50,NA,10,50,50,2500,1451
61,"rw_parametric_n1000","parametric",1000,50,NA,11,50,50,2500,1501
62,"rw_parametric_n1000","parametric",1000,50,NA,12,50,50,2500,1551
63,"rw_parametric_n1000","parametric",1000,50,NA,13,50,50,2500,1601
64,"rw_parametric_n1000","parametric",1000,50,NA,14,50,50,2500,1651
65,"rw_parametric_n1000","parametric",1000,50,NA,15,50,50,2500,1701
66,"rw_parametric_n1000","parametric",1000,50,NA,16,50,50,2500,1751
67,"rw_parametric_n1000","parametric",1000,50,NA,17,50,50,2500,1801
68,"rw_parametric_n1000","parametric",1000,50,NA,18,50,50,2500,1851
69,"rw_parametric_n1000","parametric",1000,50,NA,19,50,50,2500,1901
70,"rw_parametric_n1000","parametric",1000,50,NA,20,50,50,2500,1951
71,"rw_parametric_n1000","parametric",1000,50,NA,21,50,50,2500,2001
72,"rw_parametric_n1000","parametric",1000,50,NA,22,50,50,2500,2051
73,"rw_parametric_n1000","parametric",1000,50,NA,23,50,50,2500,2101
74,"rw_parametric_n1000","parametric",1000,50,NA,24,50,50,2500,2151
75,"rw_parametric_n1000","parametric",1000,50,NA,25,50,50,2500,2201
76,"rw_parametric_n1000","parametric",1000,50,NA,26,50,50,2500,2251
77,"rw_parametric_n1000","parametric",1000,50,NA,27,50,50,2500,2301
78,"rw_parametric_n1000","parametric",1000,50,NA,28,50,50,2500,2351
79,"rw_parametric_n1000","parametric",1000,50,NA,29,50,50,2500,2401
80,"rw_parametric_n1000","parametric",1000,50,NA,30,50,50,2500,2451
81,"rw_parametric_n1000","parametric",1000,50,NA,31,50,50,2500,2501
82,"rw_parametric_n1000","parametric",1000,50,NA,32,50,50,2500,2551
83,"rw_parametric_n1000","parametric",1000,50,NA,33,50,50,2500,2601
84,"rw_parametric_n1000","parametric",1000,50,NA,34,50,50,2500,2651
85,"rw_parametric_n1000","parametric",1000,50,NA,35,50,50,2500,2701
86,"rw_parametric_n1000","parametric",1000,50,NA,36,50,50,2500,2751
87,"rw_parametric_n1000","parametric",1000,50,NA,37,50,50,2500,2801
88,"rw_parametric_n1000","parametric",1000,50,NA,38,50,50,2500,2851
89,"rw_parametric_n1000","parametric",1000,50,NA,39,50,50,2500,2901
90,"rw_parametric_n1000","parametric",1000,50,NA,40,50,50,2500,2951
91,"rw_parametric_n1000","parametric",1000,50,NA,41,50,50,2500,3001
92,"rw_parametric_n1000","parametric",1000,50,NA,42,50,50,2500,3051
93,"rw_parametric_n1000","parametric",1000,50,NA,43,50,50,2500,3101
94,"rw_parametric_n1000","parametric",1000,50,NA,44,50,50,2500,3151
95,"rw_parametric_n1000","parametric",1000,50,NA,45,50,50,2500,3201
96,"rw_parametric_n1000","parametric",1000,50,NA,46,50,50,2500,3251
97,"rw_parametric_n1000","parametric",1000,50,NA,47,50,50,2500,3301
98,"rw_parametric_n1000","parametric",1000,50,NA,48,50,50,2500,3351
99,"rw_parametric_n1000","parametric",1000,50,NA,49,50,50,2500,3401
100,"rw_parametric_n1000","parametric",1000,50,NA,50,50,50,2500,3451
